white;black;event;year;heatmap
Polgar,Ju;Svidler,P;World Blitz;2009;0.31,0.16,0.04,0.45,0.19,0.28,1.0,0.35,0.04,0.07,0.03,0.09,0.01,0.05,0.18,0.45,0.0,0.01,0.06,0.08,-0.0,0.2,0.13,0.12,0.02,-0.0,-0.02,0.0,0.29,-0.01,0.02,0.0,0.0,-0.05,-0.1,0.06,-0.09,-0.07,0.0,0.0,-0.03,-0.09,-0.09,-0.02,-0.04,-0.05,0.0,-0.14,-0.01,-0.02,-0.14,-0.08,-0.06,-0.06,-0.16,-0.78,-0.16,-0.1,-0.04,-0.69,-0.29,-0.39,-0.43,-0.61
Fischer, Robert James;Spassky, Boris V;St Stefan/Belgrade m;1992;0.43,0.01,0.05,0.32,0.7,0.53,0.89,0.21,0.06,0.17,0.15,-0.03,-1.0,0.37,0.32,0.08,0.1,0.03,-0.11,0.17,0.0,0.0,0.15,0.04,0.07,-0.04,0.0,-0.22,0.3,0.19,0.11,0.07,0.05,0.0,-0.19,0.14,0.07,-0.13,0.09,0.11,0.01,0.0,-0.08,-0.17,-0.25,-0.09,-0.12,0.04,-0.24,-0.13,-0.0,-0.11,-0.17,0.09,-0.82,0.05,0.33,-0.03,-0.44,-0.68,-0.64,-0.19,-0.18,-0.38
Farboud, M.;Panno, Oscar;Varna olm;1962;0.27,0.1,0.41,0.78,0.48,0.48,0.99,0.17,0.07,0.19,0.18,0.14,0.16,0.16,0.26,0.12,0.09,0.14,0.03,0.12,0.0,0.2,0.1,0.01,0.0,0.0,0.1,-0.1,0.01,-0.07,-0.02,-0.02,-0.08,0.0,0.12,0.0,-0.07,-0.04,0.0,-0.16,0.0,0.0,-0.11,-0.07,-0.08,-0.08,-0.15,0.0,-0.07,-0.16,-0.09,-0.03,-0.03,-0.41,-0.29,-0.14,-0.63,-0.08,-0.17,-0.93,-0.21,-0.22,-0.32,-1.0
Lautier, Joel;Polgar, Judit;Linares;1994;0.27,-0.05,0.26,0.34,0.34,0.25,1.0,0.1,0.15,0.15,0.01,0.01,0.05,0.15,0.14,0.24,0.0,0.04,0.03,0.0,0.0,0.26,0.04,0.06,-0.06,0.0,0.03,0.13,0.01,0.03,0.01,0.0,0.04,0.04,0.07,-0.15,0.0,-0.14,0.0,-0.01,-0.06,0.16,-0.17,-0.08,0.04,-0.12,-0.05,-0.14,-0.18,-0.15,-0.02,-0.28,-0.12,-0.24,-0.15,-0.38,-0.22,-0.03,-0.16,-0.22,-0.27,-0.16,-0.57,-0.18
Sax, Gyula;Kasparov, Gary;Niksic;1983;0.13,0.79,0.58,0.39,0.49,0.17,0.16,0.29,0.15,0.15,0.15,0.08,0.0,0.02,0.04,0.07,0.0,0.0,0.2,0.0,-0.05,0.16,0.37,0.03,0.0,0.0,-0.09,0.08,0.11,-0.04,-0.05,0.0,0.0,0.01,-0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0,-0.06,-0.03,-0.28,-0.04,-0.04,0.0,-0.15,-0.15,-0.18,-0.03,-0.09,-0.4,-0.07,-0.1,-0.36,-0.03,-0.16,-0.39,-0.45,-0.22,-1.0,-0.12
Kasparov, Gary;Petrosian, Tigran V;Niksic;1983;0.21,0.13,0.24,0.27,0.33,0.22,0.82,0.07,0.0,0.23,0.16,0.0,0.06,0.68,0.14,0.12,0.02,0.03,0.08,0.13,0.05,0.14,0.28,0.06,-0.02,0.0,-0.01,0.14,0.0,0.03,0.02,0.01,-0.02,-0.0,0.11,-0.1,0.01,-0.05,-0.01,-0.02,-0.11,-0.01,0.04,-0.18,-0.1,-0.21,-0.17,-0.04,-0.04,0.01,-0.02,-0.2,-0.1,-0.23,-0.14,-0.23,-0.18,-0.01,-0.36,-0.41,-0.47,-0.34,-1.0,-0.08
Dubov, Daniil;Shankland, Sam;84th Tata Steel Masters;2022;0.47,0.2,0.4,0.45,0.25,0.06,1.0,0.11,0.14,0.12,0.04,0.06,0.13,0.14,0.25,0.04,0.0,0.07,-0.01,0.11,0.01,0.07,0.12,0.0,-0.11,0.02,0.05,0.13,0.0,0.03,0.0,0.08,-0.06,0.04,0.01,-0.13,0.03,0.0,-0.01,-0.01,0.0,-0.02,0.03,0.0,-0.13,-0.24,0.0,-0.08,-0.02,-0.05,-0.03,-0.2,-0.22,-0.14,-0.18,-0.04,-0.53,-0.07,-0.23,-0.49,-0.2,-0.3,-0.99,-0.09
Fischer, Robert James;Fulk, W.;Chicago sim;1964;0.46,0.02,0.03,0.4,0.67,0.14,0.9,0.17,0.02,0.02,-0.05,0.12,0.0,0.12,0.21,0.13,0.03,0.0,0.04,0.13,0.12,0.08,0.11,0.05,0.0,0.03,0.0,-0.07,0.01,0.03,0.04,0.11,0.0,-0.04,-0.12,-0.13,0.14,-0.01,0.2,0.0,0.0,0.0,-0.05,0.0,-0.16,0.12,-0.06,0.13,-0.16,-0.16,-0.34,-0.12,-0.06,-0.16,-0.1,-0.16,-0.47,-0.09,-0.41,-0.2,-0.6,-0.05,-1.0,-0.23
Panno, Oscar;El Ghazali, Youssef M;Thessaloniki ol (Men);1988;0.18,0.02,0.26,0.26,0.34,0.32,0.17,1.0,0.15,0.09,0.01,0.27,0.09,0.04,0.17,0.14,0.0,0.07,0.01,0.01,0.09,0.22,0.05,0.0,0.01,0.06,0.05,0.01,0.41,0.04,0.01,-0.0,0.01,0.0,-0.04,-0.06,-0.14,-0.04,0.0,-0.05,-0.06,0.01,-0.13,-0.2,-0.22,-0.24,-0.11,0.0,-0.04,-0.09,-0.17,-0.02,-0.06,-0.03,-0.29,-0.09,-0.13,-0.04,-0.13,-0.5,-0.4,-0.21,-0.17,-0.87
Kasparov,G;Leko,P;XXII SuperGM;2005;0.68,0.05,0.14,0.75,0.41,0.3,0.99,0.25,0.3,0.3,0.3,0.25,0.0,0.09,0.38,0.06,0.0,0.0,0.21,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.31,0.0,0.29,0.02,-0.02,0.25,0.0,0.0,-0.29,0.02,-0.27,0.13,0.0,0.07,0.0,0.0,-0.23,-0.26,-0.21,-0.15,0.0,0.03,-0.3,-0.3,-0.01,-0.12,-0.26,-0.2,-0.12,-0.11,-0.58,-0.04,-0.55,-0.8,-1.0,-0.18,-0.42,-0.45
Ricardi, Pablo;Panno, Oscar;ARG-ch;1990;0.44,0.07,0.27,0.42,0.2,0.42,0.92,0.06,0.1,0.01,0.12,0.03,0.0,0.41,0.31,0.14,-0.02,0.01,0.15,-0.05,0.34,0.15,0.2,0.23,-0.03,0.23,0.04,0.15,-0.06,0.09,0.04,0.08,0.12,-0.19,0.1,0.07,-0.02,-0.02,0.0,0.01,-0.28,-0.01,-0.23,-0.04,-0.11,-0.33,-0.36,0.0,-0.19,-0.05,0.12,-0.1,-0.09,-0.23,-0.25,-0.3,-0.63,-0.02,-0.04,-0.3,-0.76,-0.1,-1.0,-0.16
