white;black;event;year;heatmap
Hernandez, Gilberto;Panno, Oscar;AMEBS;1998;0.23,0.03,0.05,0.29,0.32,0.22,1.0,0.12,0.03,0.1,0.11,0.05,0.15,0.06,0.22,0.14,0.0,0.04,0.13,0.0,0.22,0.05,0.0,0.12,0.08,-0.01,0.0,0.04,0.08,0.09,0.0,0.23,0.0,0.0,-0.03,-0.0,0.05,-0.01,0.06,0.0,-0.12,-0.1,-0.04,-0.07,-0.13,-0.08,0.02,-0.03,-0.02,-0.04,-0.29,-0.08,-0.13,-0.14,-0.14,-0.06,-0.16,-0.44,-0.2,-0.44,-0.65,-0.24,-0.65,-0.18
Benko, Francisco;Panno, Oscar;Buenos Aires;1952;0.34,0.13,0.04,0.13,0.58,0.09,1.0,0.12,0.04,0.32,0.58,0.16,0.22,0.4,0.14,0.15,0.33,0.02,0.16,0.14,0.06,0.2,0.0,0.0,0.01,0.0,0.01,0.0,0.16,-0.03,0.0,0.0,0.03,-0.03,-0.17,0.03,-0.15,0.01,0.03,0.0,0.0,0.0,-0.24,-0.05,-0.19,-0.19,-0.03,0.0,-0.16,-0.16,-0.25,-0.31,-0.65,-0.05,-0.14,-0.16,-0.16,-0.02,-0.15,-0.51,-0.37,-0.47,-0.62,-0.42
Panno, Oscar;Castelli, Raul;Santos Lugares;1977;0.28,0.02,0.06,0.45,1.0,0.05,0.01,0.45,0.04,0.05,0.0,0.1,0.04,0.09,0.03,0.04,0.18,0.04,0.14,0.38,0.13,0.19,0.0,0.03,0.06,0.0,0.09,0.01,0.08,0.0,0.03,0.0,0.0,-0.0,-0.05,0.07,-0.07,0.0,0.06,0.03,-0.06,-0.02,0.0,-0.08,0.0,-0.09,-0.08,0.0,-0.03,-0.24,-0.19,-0.2,-0.2,-0.09,-0.25,-0.02,-0.24,-0.26,-0.1,-0.38,-0.33,-0.34,-0.79,-0.07
Adorjan, Andras;Polgar, Judit;HUN-ch;1991;0.65,0.15,0.29,0.81,0.32,0.49,0.88,0.19,0.23,0.23,0.01,0.12,0.33,0.23,0.4,0.17,0.0,0.01,0.31,0.0,0.0,0.43,0.19,0.06,0.0,0.0,0.09,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.05,-0.15,0.0,0.02,0.0,0.0,0.0,-0.23,-0.28,-0.09,-0.37,-0.22,0.0,-0.23,-0.23,-0.13,-0.16,-0.17,-0.23,-0.31,-0.23,-0.63,-0.14,-0.37,-0.79,-0.26,-0.43,-1.0,-0.14
Morovic Fernandez, Ivan;Panno, Oscar;Santiago;1989;0.21,0.22,0.28,0.66,0.62,0.18,0.77,0.28,0.15,0.08,0.0,0.29,0.01,0.12,0.15,0.15,0.0,0.07,0.13,0.03,0.13,0.03,0.0,0.16,0.0,0.0,0.15,0.04,0.12,0.02,0.03,0.0,0.0,-0.0,-0.12,0.09,0.0,0.01,-0.01,0.0,-0.04,-0.09,-0.06,-0.09,-0.02,-0.03,-0.12,0.2,-0.15,-0.11,-0.01,-0.14,-0.15,-0.13,-0.31,-0.14,-0.61,-0.03,-0.41,-0.5,-1.0,-0.19,-0.64,-0.29
Hjartarson, Johann;Kasparov, Gary;PCA/Intel-GP;1994;0.76,0.04,0.1,0.49,1.0,0.26,0.14,0.65,0.25,0.25,0.04,0.57,0.36,0.15,0.18,0.04,0.0,0.06,0.47,0.0,0.19,0.26,0.03,0.09,0.0,-0.22,0.07,0.03,0.23,-0.07,0.05,-0.04,-0.31,0.0,-0.18,0.18,-0.19,0.0,0.06,-0.1,-0.11,-0.03,-0.02,-0.22,0.0,-0.27,-0.2,-0.09,-0.25,-0.11,-0.05,-0.13,-0.06,-0.25,-0.35,-0.72,-0.45,-0.19,-0.31,-0.71,-0.2,-0.61,-0.53,-0.12
Polgar, Judit;Anand, Viswanathan;Linares 14th;1997;0.28,0.07,0.14,0.85,0.33,0.23,0.81,0.1,0.02,0.1,0.07,0.32,0.22,0.13,0.11,0.04,0.0,0.13,0.05,0.03,0.0,0.16,0.01,0.01,0.02,-0.0,0.0,0.06,0.13,-0.06,-0.01,0.0,-0.05,-0.06,-0.04,0.0,-0.06,-0.02,0.01,-0.11,-0.02,-0.16,-0.1,-0.09,0.0,-0.04,-0.15,-0.06,-0.01,-0.02,-0.11,-0.05,-0.03,-0.05,-0.17,-0.11,-0.1,-0.22,-0.13,-0.39,-0.53,-0.38,-0.17,-1.0
Caruana, Fabiano;Carlsen, Magnus;WCh 2018;2018;0.17,0.16,0.04,0.3,0.42,0.25,1.0,0.05,0.02,0.04,0.05,0.07,0.03,0.11,0.11,0.1,0.0,0.0,-0.06,-0.05,0.08,0.19,0.0,0.01,0.0,-0.13,0.05,0.0,0.04,0.0,0.0,0.0,-0.05,-0.02,-0.02,-0.12,-0.1,-0.12,0.01,-0.02,-0.0,-0.08,-0.1,-0.0,-0.07,-0.01,-0.1,0.0,-0.02,-0.07,0.03,-0.11,-0.05,-0.08,-0.2,-0.1,-0.16,-0.01,-0.09,-0.43,-0.67,-0.03,-0.07,-0.24
Geller, Efim P;Fischer, Robert James;Stockholm Interzonal;1962;0.49,0.07,0.1,0.5,0.36,0.31,0.71,0.11,0.13,0.05,0.22,0.2,0.18,0.23,0.15,0.11,-0.04,0.1,0.25,0.06,0.17,0.13,0.0,0.01,0.04,0.01,0.17,0.02,0.09,-0.03,0.0,0.0,-0.06,0.04,-0.03,0.05,-0.13,-0.03,0.0,0.0,-0.04,-0.11,-0.08,-0.06,0.0,-0.42,-0.19,-0.11,-0.01,-0.2,-0.16,-0.04,-0.26,-0.13,-0.15,-0.2,-0.35,-0.11,-0.27,-0.24,-0.26,-0.19,-1.0,-0.12
Anton Guijarro,D;Carlsen,M;83rd Tata Steel Masters;2021;0.21,0.1,0.39,0.28,0.53,0.08,-0.05,0.29,0.09,0.05,-0.01,0.41,0.02,0.02,0.12,0.13,0.0,0.11,0.14,0.08,0.12,-0.02,-0.04,-0.13,-0.04,0.0,0.0,0.48,0.19,0.0,-0.07,-0.62,-0.02,0.07,-0.05,0.05,0.93,0.09,-0.14,-0.06,0.01,-0.05,-0.1,0.13,-0.0,-0.04,-0.09,-0.13,-0.09,-0.05,-0.0,-0.12,-0.42,-0.13,-0.47,-0.13,-0.17,-0.01,-0.13,-0.4,-1.0,-0.02,-0.06,-0.35
Panno,O;Roselli Mailhe,B;1st Masters;2001;0.59,0.35,0.32,0.48,0.43,0.37,0.89,0.2,0.1,0.12,0.02,0.13,0.1,0.12,0.26,0.12,0.01,0.0,0.13,0.0,0.02,0.21,0.09,0.0,0.19,0.0,0.1,0.04,0.0,0.0,0.0,0.0,-0.2,0.0,-0.06,0.07,0.0,0.0,0.0,0.0,-0.01,-0.05,-0.02,-0.08,0.0,-0.21,-0.1,0.0,-0.11,-0.06,-0.15,-0.11,-0.12,-0.12,-0.29,-0.12,-0.59,-0.22,-0.28,-0.64,-0.33,-0.42,-1.0,-0.14
Panno, Oscar;Van Riemsdijk, Herman C;Sao Paulo;1973;0.22,0.36,0.16,0.68,0.27,0.13,0.63,0.08,0.15,0.28,0.01,0.35,1.0,0.1,0.18,0.12,0.0,0.02,0.24,0.1,0.12,0.34,0.08,0.03,0.0,0.0,0.14,0.0,0.06,0.09,0.0,0.03,-0.21,0.02,-0.12,-0.01,0.12,0.0,0.05,-0.05,0.0,-0.14,-0.19,0.0,-0.14,-0.25,-0.06,-0.04,-0.15,-0.22,-0.21,-0.19,-0.26,-0.15,-0.5,-0.22,-0.4,-0.15,-0.24,-0.66,-0.23,-0.38,-0.91,-0.11
Kasparov, Gary;Akesson, Ralf;Wch U20;1980;0.4,0.28,0.2,0.4,0.51,0.56,0.33,1.0,0.02,0.17,0.01,0.0,0.21,0.09,0.18,0.18,0.08,0.0,0.06,0.27,0.19,0.14,0.0,0.0,0.0,-0.16,0.02,0.11,0.09,0.02,0.24,0.0,-0.07,0.0,-0.0,-0.1,0.09,0.06,0.0,0.0,0.0,-0.19,-0.01,0.0,-0.1,-0.14,0.0,-0.16,-0.13,-0.33,-0.16,-0.09,-0.17,-0.08,-0.18,-0.18,-0.48,-0.15,-0.33,-0.53,-0.57,-0.34,-0.98,-0.3
Panno, Oscar;Medina Garcia, Antonio Angel;Gothenburg Interzonal;1955;0.43,0.1,0.15,0.3,0.19,0.33,0.77,0.09,0.11,0.07,0.03,0.04,0.14,0.19,0.54,0.14,-0.06,0.07,0.02,0.04,0.11,0.22,0.32,0.0,-0.04,0.0,-0.07,0.02,0.03,0.28,-0.05,0.2,0.04,-0.02,0.01,-0.09,0.04,0.06,0.39,-0.14,-0.02,0.0,-0.05,0.0,-0.16,-0.36,0.0,0.52,-0.06,0.0,0.01,-0.04,-0.51,-0.39,-0.46,0.07,-0.29,-0.07,-0.24,-0.47,-0.38,-0.68,-1.0,-0.15
Radjabov,T;Kasparov,G;FIDE GP;2002;0.61,0.29,0.14,0.31,0.7,0.54,0.36,0.61,0.24,0.18,0.01,0.6,0.76,0.23,0.4,0.25,0.0,0.44,0.27,0.0,0.3,0.04,0.19,0.01,0.28,0.07,0.03,0.4,-0.27,0.33,0.03,0.0,-0.15,0.16,0.37,-0.4,0.07,-0.17,0.04,-0.23,-0.23,0.35,-0.39,0.0,-0.66,-0.3,-0.26,-0.15,-0.31,-0.41,-0.02,-0.34,-0.48,-0.41,-0.14,-0.35,-0.22,-0.36,-0.09,-0.75,-1.0,-0.41,-0.63,-0.52
Kasparov,G;Sokolov,I;Bosna SuperGM;2000;0.39,0.11,0.15,0.68,0.63,0.2,1.0,0.15,0.06,0.06,0.04,0.03,0.16,0.15,0.11,0.1,0.09,0.39,0.09,0.03,0.0,0.25,-0.01,0.04,0.0,-0.04,0.04,0.12,-0.07,0.03,0.01,0.0,0.0,0.0,0.0,-0.11,0.07,-0.08,0.0,-0.01,0.0,-0.06,-0.02,-0.08,0.0,-0.09,-0.07,0.0,-0.15,-0.08,-0.15,-0.02,-0.16,-0.15,-0.15,-0.15,-0.57,-0.08,-0.11,-0.81,-0.45,-0.45,-0.83,-0.25
Rossetto, Hector;Panno, Oscar;Mar del Plata;1955;0.29,0.06,0.07,0.31,0.41,0.38,1.0,0.06,0.0,0.04,0.11,0.19,-0.04,0.19,0.25,0.28,0.0,-0.08,0.16,0.11,0.19,0.2,0.07,0.08,-0.01,-0.0,-0.05,0.18,-0.09,-0.04,0.04,0.06,0.0,-0.07,-0.01,-0.16,0.0,-0.1,-0.05,-0.03,-0.06,-0.04,-0.16,-0.09,-0.28,-0.18,-0.2,-0.04,-0.04,-0.11,-0.02,-0.37,-0.05,-0.13,-0.67,-0.2,-0.08,-0.22,-0.16,-0.13,-0.08,-0.18,-0.31,-0.19
Panno, Oscar;Najdorf, Miguel;Buenos Aires;1965;0.33,0.09,0.31,0.6,0.36,0.63,0.12,1.0,0.0,0.22,0.25,0.02,0.38,0.13,0.25,0.25,0.11,0.01,0.32,0.35,0.11,0.24,0.19,0.0,-0.01,-0.05,-0.22,0.25,0.24,0.04,0.0,0.25,-0.06,-0.15,-0.17,0.0,-0.1,0.08,0.07,0.0,-0.14,0.0,-0.08,-0.1,-0.13,-0.36,-0.1,0.0,-0.04,-0.4,-0.5,-0.13,-0.27,-0.25,-0.19,-0.25,-0.31,-0.11,-0.6,-0.19,-0.81,-0.5,-0.51,-0.49
Panno, Oscar;Pelikan, Jorge;Mar del Plata;1958;0.29,0.24,0.05,0.46,0.53,0.38,1.0,0.32,0.21,0.13,0.21,0.06,0.22,0.63,0.47,0.36,0.13,0.04,0.25,0.0,0.33,0.09,0.46,0.1,-0.0,0.13,0.07,0.15,-0.32,0.3,-0.25,0.05,0.0,0.03,0.06,0.16,-0.01,-0.3,-0.03,-0.25,-0.01,0.0,-0.07,-0.14,-0.06,-0.93,-0.29,-0.26,-0.08,-0.07,0.05,-0.25,-0.31,-0.34,-0.55,-0.23,-0.24,-0.08,-0.12,-0.32,-0.49,-0.29,-0.94,-0.67
Kasparov, Gary;Reefschlaeger, Helmut;HSK-Kasparov simul;1985;0.44,0.06,0.21,0.71,0.55,0.54,1.0,0.25,0.02,0.14,0.01,0.34,0.35,0.14,0.14,0.14,0.0,0.05,0.27,0.0,0.14,0.13,0.0,0.0,0.11,-0.19,0.18,0.07,0.11,0.0,-0.08,0.0,-0.05,0.09,-0.19,-0.02,0.03,0.0,0.05,0.0,-0.14,-0.14,-0.38,0.06,-0.1,-0.26,0.0,0.0,-0.14,-0.14,-0.01,-0.14,-0.15,-0.1,-0.14,-0.14,-0.58,-0.19,-0.1,-0.73,-0.58,-0.41,-0.98,-0.26
De Armas, Asela;Polgar, Judit;Novi Sad ol (Women);1990;0.26,0.05,0.1,0.45,0.25,0.2,0.64,0.49,0.08,0.09,0.14,0.04,0.04,0.09,0.11,0.03,0.0,0.02,0.09,0.01,0.11,0.28,0.06,0.07,0.0,0.01,-0.01,0.09,0.01,-0.08,0.0,-0.12,0.01,-0.03,-0.03,-0.1,0.0,0.01,-0.09,-0.05,-0.07,-0.01,-0.08,-0.02,-0.1,0.0,-0.07,0.0,-0.03,-0.08,-0.1,-0.03,-0.03,-0.11,-0.04,-0.06,-0.29,-0.03,-0.22,-0.4,-0.34,-0.17,-1.0,-0.1
Van Riemsdijk, Herman C;Panno, Oscar;Mar del Plata zt;1969;0.56,0.07,0.13,0.49,0.39,0.37,1.0,0.17,0.12,0.12,0.07,0.01,0.13,0.13,0.07,0.12,0.0,0.12,0.17,0.0,0.22,0.6,0.0,0.0,0.0,0.0,0.03,0.17,0.13,0.01,0.05,0.0,-0.49,-0.05,-0.05,0.03,-0.02,0.06,0.0,0.0,-0.09,0.0,-0.14,-0.05,-0.03,-0.19,0.0,0.0,-0.04,-0.12,-0.01,-0.2,-0.23,-0.12,-0.12,-0.12,-0.61,-0.03,-0.09,-0.61,-0.65,-0.38,-0.84,-0.26
Karpov, Anatoly;Polgar, Judit;Amber-rapid 3rd;1994;0.31,0.12,0.08,0.15,0.51,-0.02,1.0,0.07,0.21,0.09,0.04,0.33,0.13,0.13,0.14,0.14,0.01,0.0,-0.07,0.06,-0.1,0.13,0.03,0.19,0.0,-0.05,0.07,0.19,0.02,0.05,0.16,0.35,0.0,-0.22,-0.07,-0.27,0.07,0.03,0.26,0.07,-0.18,-0.18,-0.04,-0.06,-0.32,-0.13,-0.13,0.01,-0.03,-0.17,-0.2,-0.02,0.02,-0.1,-0.3,-0.41,-0.3,-0.14,-0.24,-0.19,-0.17,-0.11,-0.79,-0.07
Fischer, Robert James;Petrosian, Tigran V;Candidats final;1971;0.18,0.02,0.09,0.19,0.37,0.05,0.66,-0.03,0.14,0.05,0.06,0.23,0.16,0.11,0.14,0.02,0.0,0.1,0.12,0.0,0.0,0.36,0.07,0.12,0.1,0.0,0.01,0.13,0.0,-0.04,0.18,0.26,-0.02,0.03,0.0,-0.07,0.13,0.07,0.06,-0.03,-0.02,0.0,-0.05,0.03,-0.06,-0.1,-0.03,-0.09,-0.03,-0.03,-0.06,-0.16,-0.05,-0.11,-0.11,-0.38,-0.2,-0.16,-0.04,-0.39,-0.44,-0.24,-1.0,-0.14
Kasparov,G;Kircher,Roger;Kasparov Simul 2016;2016;0.53,0.04,0.3,0.76,0.68,0.12,1.0,0.2,0.14,0.09,0.09,-0.04,0.13,0.17,0.13,0.02,0.0,0.05,0.14,-0.03,0.83,0.14,0.0,0.13,0.0,0.05,-0.03,0.07,0.23,0.09,0.03,0.02,0.04,-0.03,-0.02,-0.0,0.09,-0.01,0.07,0.0,0.0,-0.04,-0.12,0.0,-0.23,-0.01,-0.17,0.02,-0.19,-0.15,-0.4,-0.28,-0.78,-0.19,-0.19,-0.19,-0.5,-0.14,-0.2,-0.57,-0.47,-0.17,-0.97,-0.21
Poetsch,H;Polgar,Ju;12th ch-EUR;2011;0.21,0.05,0.88,0.57,0.48,0.39,0.03,0.7,0.09,0.11,0.24,0.27,0.0,0.08,0.19,0.24,0.06,0.22,0.27,0.0,0.22,0.1,0.06,0.02,0.01,-0.04,0.0,0.35,0.1,0.12,0.0,0.0,0.09,-0.09,-0.03,-0.13,0.06,-0.05,0.0,0.0,-0.19,-0.03,-0.11,0.0,-0.19,-0.18,0.0,0.0,-0.06,-0.31,-0.23,-0.36,-0.24,-0.46,-0.17,-0.24,-0.44,-0.06,-0.52,-0.18,-1.0,-0.15,-0.13,-0.61
Grischuk,A;Polgar,Ju;Corus A;2005;0.21,0.09,0.2,0.11,0.14,0.09,0.92,0.06,0.03,0.05,0.2,0.11,0.06,0.14,0.15,0.12,0.02,0.01,0.01,0.12,0.12,0.09,0.12,0.0,0.0,0.03,0.03,0.21,0.06,0.06,0.0,0.01,0.12,-0.11,0.02,0.0,-0.0,0.0,0.0,0.0,-0.08,0.01,0.0,-0.03,-0.06,-0.16,0.0,-0.1,-0.27,-0.18,-0.07,-0.25,-0.07,-0.12,-0.12,-0.03,-0.19,-0.13,-0.13,-0.25,-0.15,-0.19,-1.0,-0.06
Yudasin, Leonid;Polgar, Judit;Madrid;1992;0.3,0.07,0.12,0.48,0.34,0.22,0.56,0.77,0.15,0.06,0.07,0.22,0.59,0.07,0.14,0.8,-0.01,-0.02,0.05,0.09,0.15,-0.05,0.26,0.12,-0.0,-0.21,-0.01,-0.5,-0.15,-0.14,0.13,0.09,-0.06,-0.14,-0.01,-0.16,-0.13,-0.1,-0.0,0.02,-0.09,-0.06,-0.09,0.06,-0.16,-0.09,-0.25,0.0,0.3,0.02,-0.12,-0.08,0.22,-0.19,-0.14,-0.11,-0.2,-0.25,-0.27,-0.12,-0.94,-0.4,-1.0,-0.15
Garibaldi, O.;Panno, Oscar;Buenos Aires;1952;0.38,0.17,0.09,0.37,0.18,0.17,1.0,0.08,0.13,0.09,0.03,0.03,0.13,0.13,0.16,0.13,0.0,0.0,0.06,0.0,0.0,0.07,0.12,0.0,0.0,0.0,-0.09,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.03,-0.01,0.08,0.0,-0.02,0.0,0.01,0.0,0.02,0.0,0.0,-0.07,-0.05,0.0,-0.13,-0.15,-0.16,-0.03,-0.13,-0.13,-0.21,-0.13,-0.37,-0.22,-0.2,-0.2,-0.3,-0.75,-0.43,-0.09
Polgar, Judit;Gomez Esteban, Juan Mario;Salamanca;1989;0.41,0.19,0.15,0.6,0.44,0.31,1.0,0.12,0.12,0.25,0.05,0.07,0.0,0.22,0.25,0.28,0.0,0.0,0.18,0.0,0.16,0.25,0.53,0.0,-0.14,0.0,0.0,0.07,0.07,-0.02,0.0,0.02,-0.39,0.02,-0.07,-0.18,0.18,-0.07,0.0,0.04,0.0,0.0,-0.19,-0.02,-0.12,-0.12,0.0,0.15,-0.25,-0.25,-0.01,-0.12,-0.19,-0.25,-0.23,-0.25,-0.35,-0.09,-0.32,-0.38,-0.62,-0.4,-0.82,-0.37
Smejkal, Jan;Kasparov, Gary;Moscow;1981;0.47,0.04,0.14,0.76,0.5,0.22,0.83,0.17,0.12,0.19,0.01,0.13,0.49,0.12,0.34,0.12,0.0,0.08,0.15,0.0,0.06,0.2,0.1,0.0,0.0,0.0,0.11,0.04,-0.02,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,-0.05,-0.09,0.0,-0.06,-0.1,-0.19,0.0,0.0,-0.09,-0.15,-0.02,-0.15,-0.18,-0.12,-0.12,-0.12,-0.48,-0.14,-0.08,-1.0,-0.8,-0.21,-0.88,-0.21
Lima, Darcy;Kasparov, Gary;BRA sim;1996;0.51,0.06,0.14,0.7,0.47,0.6,0.98,0.28,0.26,0.23,0.02,0.01,0.37,0.12,0.26,0.26,0.0,0.2,0.23,0.0,0.23,0.19,0.0,0.0,0.0,0.0,0.11,0.36,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.01,0.0,0.0,0.0,0.0,0.0,-0.09,-0.08,-0.03,-0.35,-0.23,0.0,-0.26,-0.26,-0.09,-0.05,-0.08,-0.26,-0.33,-0.26,-0.77,-0.33,-0.43,-0.81,-0.69,-0.23,-1.0,-0.19
Panno, Oscar;Mecking, Henrique;Sao Paulo zt;1972;0.46,0.06,0.15,0.77,0.27,0.44,0.85,0.33,0.14,0.0,0.01,0.01,0.12,-0.01,0.25,0.14,0.0,0.0,0.24,0.07,0.0,0.1,0.06,0.0,0.0,0.0,0.13,-0.1,0.06,0.03,0.13,0.03,-0.01,0.0,-0.1,0.11,-0.05,-0.04,0.03,0.0,-0.08,-0.08,-0.01,-0.07,0.03,-0.22,-0.16,-0.07,-0.02,-0.12,-0.31,-0.1,-0.03,-0.03,-0.35,-0.06,-0.4,-0.07,-0.2,-0.48,-0.18,-0.5,-1.0,-0.27
Reshevsky, Samuel Herman;Fischer, Robert James;USA-ch;1965;0.14,0.01,0.05,0.16,0.29,0.29,0.54,0.43,0.14,0.02,0.0,0.0,0.01,0.04,0.21,0.1,0.01,0.11,0.08,0.4,0.03,0.13,0.43,0.15,0.0,0.11,0.04,0.18,0.1,0.03,-0.01,0.05,0.0,-0.08,-0.02,-0.02,-0.04,-0.04,-0.03,-0.0,0.0,-0.06,-0.0,0.1,0.01,-0.13,-0.13,-0.16,-0.09,-0.02,-0.16,-0.04,-0.06,-0.09,-0.14,-1.0,-0.2,-0.06,-0.06,-0.57,-0.27,-0.1,-0.57,-0.09
Fischer, Robert James;Gore, James;Manhattan blitz;1971;0.27,0.06,0.14,0.45,0.37,0.07,1.0,0.05,0.08,0.27,0.14,0.28,0.11,0.09,0.41,0.02,0.0,0.02,0.11,0.0,0.03,0.22,0.03,0.1,0.04,0.01,-0.04,0.01,0.13,-0.01,0.02,0.0,-0.12,-0.1,-0.11,0.09,-0.12,-0.0,0.05,0.0,-0.14,-0.02,-0.04,-0.14,0.0,-0.08,-0.08,0.05,-0.04,-0.06,-0.34,-0.02,-0.08,-0.19,-0.49,-0.13,-0.18,-0.12,-0.24,-0.28,-0.28,-0.22,-0.92,-0.09
Panno, Oscar;Malich, Burkhard;Munich olm prel;1958;0.16,0.05,0.29,0.33,0.19,0.18,0.6,0.06,0.11,0.04,0.05,0.11,0.11,0.07,0.63,0.11,0.0,0.06,0.1,0.17,0.28,0.06,0.1,0.0,0.0,0.09,0.04,0.03,0.0,0.08,-0.02,0.0,0.0,-0.06,-0.01,0.02,-0.07,0.0,0.0,0.0,-0.01,-0.08,-0.01,-0.08,-0.05,-0.06,-0.1,0.0,-0.03,-0.09,0.0,-0.03,-0.06,-0.11,-0.17,-0.11,-0.4,-0.27,-0.17,-0.55,-0.25,-0.31,-1.0,-0.07
Timman, Jan H;Kasparov, Gary;URS-World;1984;0.2,-0.02,0.39,0.53,0.5,0.11,1.0,0.13,0.04,0.04,0.05,-0.01,-0.06,0.15,0.45,0.18,0.0,0.04,0.11,-0.29,0.05,0.08,0.09,0.13,0.02,0.08,-0.06,0.1,-0.03,-0.02,0.03,-0.01,0.0,-0.03,0.0,-0.11,-0.06,-0.03,-0.06,0.0,-0.04,-0.06,-0.08,-0.07,0.0,-0.08,-0.36,-0.07,0.03,-0.07,-0.13,0.02,-0.04,-0.35,-0.07,-0.14,-0.28,-0.02,-0.05,-0.37,-0.35,-0.16,-0.86,-0.08
Kasparov, Gary;Wegner, Hannu;HSK-Kasparov simul;1985;0.31,0.23,0.22,0.34,0.39,0.37,1.0,0.23,0.13,0.09,0.01,0.09,0.27,0.27,0.34,0.27,-0.21,0.13,0.05,0.0,0.21,0.03,0.22,0.0,-0.09,-0.11,0.08,0.18,0.09,0.02,0.0,0.0,-0.12,0.0,0.02,-0.02,-0.15,0.0,0.02,0.0,-0.07,0.0,-0.31,-0.16,-0.25,-0.13,0.0,0.0,-0.18,-0.02,-0.02,-0.11,-0.37,-0.4,-0.27,-0.27,-0.61,-0.11,-0.23,-0.49,-0.45,-0.1,-0.02,-0.44
Fischer, Robert James;Olafsson, Fridrik;Candidats Tournament;1959;0.59,0.32,0.46,0.71,0.59,0.08,0.98,0.53,0.03,0.27,0.1,0.05,0.38,0.17,0.29,0.62,0.07,0.21,0.51,-0.09,0.47,0.58,0.42,0.38,0.06,0.16,0.04,0.07,0.48,-0.36,0.31,0.06,-0.0,0.17,-0.04,0.0,-0.47,0.05,-0.33,0.26,-0.19,0.0,-0.22,-0.45,-0.37,-0.45,-0.46,-0.44,-0.02,-0.25,-0.41,-0.32,-0.47,-0.25,-0.47,-0.73,-0.53,-0.06,-0.11,-0.36,-0.75,-0.64,-0.17,-1.0
Skembris, Spyridon;Polgar, Judit;Corfu schev;1990;0.27,0.08,0.1,0.35,0.41,0.31,0.17,0.25,0.25,0.2,0.01,0.02,0.41,0.24,0.68,0.35,-0.12,0.39,0.36,-0.08,-0.02,0.34,0.35,0.12,0.18,-0.18,0.13,0.0,0.4,0.12,0.1,0.12,-0.36,-0.03,-0.05,-0.08,-0.08,0.23,-0.11,0.0,-0.05,-0.24,-0.1,-0.25,0.07,-0.14,-0.34,-0.12,-0.02,-0.51,-0.32,-0.24,-0.16,-0.42,-0.18,-0.21,-0.42,-0.12,-0.11,-0.47,-0.2,-0.45,-1.0,0.04
Polgar, Judit;Speelman, Jonathan S;Roquebrune rapid;1992;0.12,0.02,0.84,0.49,0.35,0.08,0.03,0.18,0.12,0.24,0.21,0.39,0.1,0.08,0.05,0.03,0.04,0.01,0.01,0.04,0.0,0.05,0.04,0.14,-0.22,-0.19,0.02,0.11,-0.01,0.0,0.0,0.03,-0.09,0.06,0.03,-0.05,0.01,-0.02,0.09,0.04,0.0,-0.08,0.02,0.0,-0.09,-0.11,-0.04,-0.01,-0.05,-0.1,-0.11,-0.03,-0.01,-0.11,-0.11,-0.12,-0.33,-0.03,-0.07,-0.35,-0.44,-0.3,-1.0,-0.12
Panno, Oscar;Galliamova, Alisa;Women-Veterans;1992;0.3,0.01,0.09,0.03,0.3,0.07,0.34,0.18,0.03,0.1,0.43,0.01,0.16,0.08,0.12,0.41,0.09,0.0,0.06,0.07,0.06,0.04,0.03,0.07,-0.03,0.05,0.07,0.1,0.1,0.09,-0.03,-0.14,-0.02,0.03,0.01,0.0,0.02,-0.0,-0.01,0.0,-0.05,-0.06,0.0,-0.0,-0.11,-0.1,-0.02,-0.09,-0.07,-0.04,-0.02,-0.12,-0.03,-0.11,-0.29,-0.03,-0.29,-0.06,-0.07,-0.37,-0.16,-0.24,-1.0,-0.04
Kasparov, Gary;Ziglio, Roberto;Asiago Ludi Univ sim;1991;0.4,0.06,0.26,0.43,0.5,0.34,0.82,0.1,0.09,0.14,-0.02,0.14,0.05,0.11,0.25,-0.06,0.0,0.0,0.07,0.07,0.01,0.15,0.0,-0.03,0.05,0.0,0.01,0.21,0.12,0.02,-0.12,0.0,0.0,0.0,0.0,0.03,-0.06,-0.04,0.0,-0.22,0.0,0.0,-0.09,-0.13,-0.04,-0.07,0.0,0.0,-0.14,-0.14,-0.09,-0.06,-0.24,-0.0,-0.14,-0.14,-0.33,-0.06,-0.17,-0.36,-0.28,-0.21,-0.12,-1.0
Cid, Marino Alejandro;Panno, Oscar;ARG-ch;1992;0.43,0.29,0.16,0.41,0.43,0.18,0.88,0.1,0.09,0.19,0.04,0.07,0.07,0.06,0.08,0.04,0.13,0.15,0.21,0.12,0.15,0.21,-0.03,0.18,-0.1,0.0,0.0,0.13,0.15,0.16,0.03,0.0,0.22,-0.12,-0.01,0.0,0.08,0.0,0.11,0.0,-0.15,-0.08,0.0,-0.16,-0.13,-0.15,-0.21,0.0,-0.07,-0.16,-0.36,-0.14,-0.09,-0.22,-0.22,-0.22,-0.5,-0.26,-0.37,-0.29,-0.28,-0.17,-1.0,-0.09
